service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS223-hbb23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbc23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbg23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbl23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbq23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbs23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS223-hbt23017-Su-02,0,0,0,0,0,0,1,20230625,20230625
BUS323-hbb33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbc33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbg33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbl33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbq33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbs33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
BUS323-hbt33j47-Su-02,0,0,0,0,0,0,0,20230704,20230704
Boat-EastBoston-Sa-Smr-23,0,0,0,0,0,1,0,20230624,20230826
Boat-EastBoston-Su-Smr-22,0,0,0,0,0,0,1,20230625,20230820
Boat-EastBoston-Wdy-Smr-23,1,1,1,1,1,0,0,20230622,20230825
Boat-F1-Sa-Smr-23,0,0,0,0,0,1,0,20230624,20230826
Boat-F1-Su-Smr-23,0,0,0,0,0,0,1,20230625,20230820
Boat-F1-Wdy-Smr-23,1,1,1,1,1,0,0,20230622,20230825
Boat-F4-Sa-Smr-23,0,0,0,0,0,1,0,20230624,20230826
Boat-F4-Su-Smr-23,0,0,0,0,0,0,1,20230625,20230820
Boat-F4-Wdy-Smr-23,1,1,1,1,1,0,0,20230622,20230825
Boat-F6-Wdy-Smr-23,1,1,1,1,1,0,0,20230705,20230825
Boat-Lynn-Wdy-Smr-23,1,1,1,1,1,0,0,20230626,20230825
CR-Newburyport-LynnShuttleWtr-Snd,0,0,0,0,0,0,1,20230625,20230625
CR-Newburyport-LynnShuttleWtr-Std,0,0,0,0,0,1,0,20230624,20230701
CR-Newburyport-LynnShuttleWtr-Wkd,1,1,1,1,1,0,0,20230622,20230630
Green-SprGovtMed-Snd,0,0,0,0,0,0,1,20230625,20230625
Green-SprGovtMed-Std,0,0,0,0,0,1,0,20230624,20230624
IncD,0,0,0,0,0,0,0,20230704,20230704
LRV223-hlb23011-Wdy-01,1,1,1,1,1,0,0,20230626,20230630
LRV223-hlb23011-Wdy-01-a7ff951f,0,0,0,1,1,0,0,20230622,20230623
LRV223-hlb23016-Sa-01,0,0,0,0,0,1,0,20230701,20230701
