route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100000,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100001,canonical-Red-C2-0,1
Red-3-0_70095_70097_0,Red,0,Alewife - JFK/UMass,,4,100100990,56494905-20:45-JFKNorthQuincySuspend0,2
Red-3-0_70095_70097_2,Red,0,North Quincy - Braintree,,4,100100990,56494905-20:45-JFKNorthQuincySuspend2,2
Red-3-0_70097_70105_0,Red,0,Alewife - North Quincy,,4,100100990,57599505-20:45-BraintreeNQuincy0,2
Red-3-1,Red,1,Braintree - Alewife,,1,100101000,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101001,canonical-Red-C2-1,1
Red-3-1_70098_70096_0,Red,1,Braintree - North Quincy,,4,100101990,56494795-20:45-JFKNorthQuincySuspend0,2
Red-3-1_70098_70096_2,Red,1,JFK/UMass - Alewife,,4,100101990,56494795-20:45-JFKNorthQuincySuspend2,2
Red-3-1_70105_70098_2,Red,1,North Quincy - Alewife,,4,100101990,57599395-20:45-BraintreeNQuincy2,2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,55483765,0
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,55483763,0
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,56494330,0
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,56494230,0
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,55713520,0
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,55713618,0
Green-B-812-0_70202_70196_2,Green-B,0,Park Street - Boston College,,4,100320990,55713520-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-B-816-0_70206_70196_0,Green-B,0,Medford/Tufts - North Station,,4,100320990,55713618-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-B-816-0_70206_70196_2,Green-B,0,Park Street - Boston College,,4,100320990,55713618-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-B-816-0_70512_70202_2_70202_70196_2,Green-B,0,Park Street - Boston College,,4,100320990,55719932-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD22,
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,55713519,0
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,55713527,0
Green-B-812-1_70200_70201_0,Green-B,1,Boston College - Park Street,,4,100321990,55713519-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-B-816-1_70200_70205_0,Green-B,1,Boston College - Park Street,,4,100321990,55713527-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-B-816-1_70200_70205_2,Green-B,1,North Station - Medford/Tufts,,4,100321990,55713527-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-B-816-1_70201_70511_0_70200_70201_0,Green-B,1,Boston College - Park Street,,4,100321990,55719919-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD00,
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,55713594,0
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,55713600,0
Green-C-832-0_70202_70197_2,Green-C,0,Park Street - Cleveland Circle,,4,100330990,55713594-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-C-836-0_70206_70197_0,Green-C,0,Medford/Tufts - North Station,,4,100330990,55713600-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-C-836-0_70206_70197_2,Green-C,0,Park Street - Cleveland Circle,,4,100330990,55713600-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-C-836-0_70512_70202_2_70202_70197_2,Green-C,0,Park Street - Cleveland Circle,,4,100330990,55719906-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD22,
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,55713595,0
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,55713601,0
Green-C-832-1_70200_70201_0,Green-C,1,Cleveland Circle - Park Street,,4,100331990,55713595-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-C-836-1_70200_70205_0,Green-C,1,Cleveland Circle - Park Street,,4,100331990,55713601-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-C-836-1_70200_70205_2,Green-C,1,North Station - Medford/Tufts,,4,100331990,55713601-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-C-836-1_70201_70511_0_70200_70201_0,Green-C,1,Cleveland Circle - Park Street,,4,100331990,55719895-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD00,
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,55713692,0
Green-D-856-0,Green-D,0,Medford/Tufts - Riverside,Weekday mornings only,3,100340040,55713694,0
Green-D-855-0_70206_70202_0,Green-D,0,Union Square - North Station,,4,100340990,55713692-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-D-855-0_70206_70202_2,Green-D,0,Government Center - Riverside,,4,100340990,55713692-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-D-855-0_70504_70202_2,Green-D,0,Government Center - Riverside,,4,100340990,55720097-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD2,
Green-D-856-0_70206_70202_0,Green-D,0,Medford/Tufts - North Station,,4,100340990,55713694-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-D-856-0_70206_70202_2,Green-D,0,Government Center - Riverside,,4,100340990,55713694-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,55713691,0
Green-D-856-1,Green-D,1,Riverside - Medford/Tufts,Weekday early mornings only,3,100341040,55713693,0
Green-D-855-1_70201_70205_0,Green-D,1,Riverside - Government Center,,4,100341990,55713691-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-D-855-1_70201_70205_2,Green-D,1,North Station - Union Square,,4,100341990,55713691-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-D-855-1_70201_70503_0,Green-D,1,Riverside - Government Center,,4,100341990,55719888-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD0,
Green-D-856-1_70201_70205_0,Green-D,1,Riverside - Government Center,,4,100341990,55713693-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-D-856-1_70201_70205_2,Green-D,1,North Station - Medford/Tufts,,4,100341990,55713693-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-E-886-0,Green-E,0,Medford/Tufts - Heath Street,,1,100350000,55713831,0
Green-E-886-0_70206_70202_0,Green-E,0,Medford/Tufts - North Station,,4,100350990,55713831-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-E-886-0_70206_70202_2,Green-E,0,Government Center - Heath Street,,4,100350990,55713831-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-E-886-0_70512_70202_2,Green-E,0,Government Center - Heath Street,,4,100350990,55720854-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD2,
Green-E-886-1,Green-E,1,Heath Street - Medford/Tufts,,1,100351000,55713616,0
Green-E-86-1,Green-E,1,East Somerville - Medford/Tufts,,3,100351040,57144518,0
Green-E-886-1_70201_70205_0,Green-E,1,Heath Street - Government Center,,4,100351990,55713616-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0,
Green-E-886-1_70201_70205_2,Green-E,1,North Station - Medford/Tufts,,4,100351990,55713616-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2,
Green-E-886-1_70201_70511_0,Green-E,1,Heath Street - Government Center,,4,100351990,55720855-GovtCtrParkStGovtMedSuspendDGovtUnSqSuspendD0,
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,100400000,canonical-Blue-C1-0,1
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,100400040,55458998,2
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,100401000,canonical-Blue-C1-1,1
741-_-0,741,0,South Station - Logan Airport Terminals,,1,100510000,56106224,0
741-_-1,741,1,Logan Airport Terminals - South Station,,1,100511000,56106226,0
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,100511040,56106406,0
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,100520000,56106118,0
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,56106117,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,56105495,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,56105497,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,56105704,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,56105392,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,56105391,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,56105220,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,56105219,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,56105530,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,56105496,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200020000,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200020030,CR-595062-417,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200021000,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200021030,CR-606471-420,2
CR-Worcester-6436caf7-0,CR-Worcester,0,South Station - Worcester,,1,200030000,CR-598270-501,2
CR-Worcester-b2e1af39-0,CR-Worcester,0,South Station - Framingham,,2,200030020,CR-595541-591,2
CR-Worcester-fa71b593-0,CR-Worcester,0,South Station - Worcester,,2,200030030,CR-598285-523,2
CR-Worcester-b5dda27b-0,CR-Worcester,0,South Station - Worcester,,2,200030040,canonical-CR-Worcester-C1-0,1
CR-Worcester-dee234b8-0,CR-Worcester,0,South Station - Worcester,,2,200030060,CR-598278-515,2
CR-Worcester-4b439f03-0,CR-Worcester,0,South Station - Worcester,,3,200030070,CR-598280-517,2
CR-Worcester-56a7d393-0,CR-Worcester,0,South Station - Worcester,,3,200030080,CR-598283-521,2
CR-Worcester-2fe54abd-0,CR-Worcester,0,South Station - Worcester,,3,200030090,CR-598294-551,2
CR-Worcester-b463475c-0,CR-Worcester,0,South Station - Worcester,,3,200030100,CR-598288-529,2
CR-Worcester-647db84d-1,CR-Worcester,1,Worcester - South Station,,1,200031000,CR-595477-500,2
CR-Worcester-72c8dfb6-1,CR-Worcester,1,Worcester - South Station,,2,200031030,CR-595493-502,2
CR-Worcester-257727ec-1,CR-Worcester,1,Worcester - South Station,,3,200031050,CR-595489-526,2
CR-Worcester-9fe63af0-1,CR-Worcester,1,Worcester - South Station,,3,200031060,CR-595647-524,2
CR-Worcester-09bc0bc7-1,CR-Worcester,1,Worcester - South Station,,3,200031070,CR-595708-520,2
CR-Worcester-cb9d6625-1,CR-Worcester,1,Framingham - South Station,,3,200031080,CR-595479-584,2
CR-Worcester-a814f00c-1,CR-Worcester,1,Worcester - South Station,,3,200031100,CR-595505-514,2
CR-Worcester-16e1833f-1,CR-Worcester,1,Worcester - South Station,,3,200031120,CR-595491-552,2
CR-Worcester-0380852a-1,CR-Worcester,1,Framingham - South Station,,3,200031130,CR-595540-592,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,3,200031140,CR-595588-596,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200031991,canonical-CR-Worcester-C1-1,1
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200040000,CR-595500-703,2
CR-Franklin-1af2beab-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,1,200040010,CR-595513-757,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040040,CR-595660-741,2
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040060,CR-595576-725,2
